product_number,department_desc,avg_elasticity,total_orders,avg_discount
1853,MENS BRANDED CLOTHING,1.0133458646616544,144,10.923007571428572
1859,MENS BRANDED CLOTHING,4.7755892246957,808,30.395454545454548
1876,MENS BRANDED CLOTHING,4.310372948193464,515,21.343077115384613
1881,MENS OWN BRAND TOPS,90071992547409.11,1062,37.228342937142855
1893,MENS BRANDED CLOTHING,1.0016083916083915,358,24.76190476190476
1905,MENS BRANDED CLOTHING,302613413696831.8,679,23.327391304347824
1908,MENS OWN BRAND OUTERWEAR,72638703667266.06,160,6.7871889400921654
1924,MENS BRANDED CLOTHING,140737488355328.06,560,23.14687534375
1929,MENS BRANDED CLOTHING,173215370283480.47,839,14.779945554945055
1936,MENS BRANDED CLOTHING,3.6221601915062682,679,22.700000137931035
1938,MENS BRANDED CLOTHING,1.5249982745639776,1596,26.00532272580645
1941,MENS BRANDED CLOTHING,2.1318912730007984,1611,30.228064564516128
1953,MENS BRANDED CLOTHING,1.0241769547325097,248,26.686507964285713
1960,MENS BRANDED FOOTWEAR,4.231314028574184,72,12.612482435597189
1967,MENS BRANDED CLOTHING,140737488355328.56,299,36.23325911607143
1984,MENS BRANDED CLOTHING,1.2773861117906313,468,18.49816865201465
1987,MENS OWN BRAND TOPS,4.255566549179182,292,23.465262204761906
1998,MENS OWN BRAND TOPS,263114442211665.22,582,38.43836554152824
2024,MENS BRANDED CLOTHING,1.012590187590187,182,26.819727986394554
2044,MENS BRANDED CLOTHING,2.185830588981617,1996,16.554783413265305
2051,MENS BRANDED FOOTWEAR,300239975158033.06,84,3.45
2065,MENS OWN BRAND KNITWEAR,2.1269289619315037,2044,9.656238495238096
2067,MENS OWN BRAND KNITWEAR,1.371273109420282,903,46.39965164111498
2072,MENS OWN BRAND OUTERWEAR,2.2444821544307176,3352,15.393588411960135
2075,MENS OWN BRAND OUTERWEAR,1.2069901594629575,1229,16.252190476190478
2077,MENS OWN BRAND OUTERWEAR,1.1103858442609003,3229,12.287500275000001
2078,MENS OWN BRAND OUTERWEAR,1.2157759807442865,3661,24.891024296495956
2111,MENS OWN BRAND BOTTOMS,187649984473770.66,1954,5.345595238095239
2113,MENS OWN BRAND DENIM,5519117190404.45,5118,13.856741258928572
2124,MENS OWN BRAND DENIM,1.1777059611495093,1572,22.055625
2134,MENS BRANDED CLOTHING,169947155749829.97,593,9.925984299191375
2143,MENS OWN BRAND BOTTOMS,86193294303739.8,949,26.36699248120301
2145,MENS OWN BRAND BOTTOMS,105326120317534.31,1400,19.561
2147,MENS OWN BRAND BOTTOMS,1.514166165470888,1489,40.93877551020408
2155,MENS BRANDED CLOTHING,347725002362354.7,328,14.762208064935066
2161,MENS BRANDED CLOTHING,6.498063522224332,437,17.35924405042017
2203,MENS BRANDED CLOTHING,1.0473756613756617,197,19.514285714285712
2224,MENS BRANDED FOOTWEAR,1.5365254988542587,283,21.63265306122449
2240,MENS OWN BRAND TOPS,172551709860938.06,3654,6.601428812807882
