week,department_desc,product_number,orders_x,discount,pct_change_discount,pct_change_orders,elasticity,orders_y,orders_smoothed,seasonal,trend,residual
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,2628,43,22.361428571428572,0.028584570902878248,0.9545454545454546,33.39373040752342,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,3160,8,33.33,0.045951761857796036,1.0,21.76195121951223,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND KNITWEAR,3331,11,41.666666666666664,0.38888888888888884,0.10000000000000009,0.2571428571428574,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,131,30,46.048571428571435,-0.05386128151692149,-0.25,4.641553133514991,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,133,50,70.0,0.03607222903539564,1.0,27.722157092614278,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,135,185,70.0,0.04999250005357103,1.0555555555555554,21.114278230223366,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,137,80,70.0,0.027964839406717346,0.06666666666666665,2.3839459864966313,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,139,149,70.0,0.03730047842838391,0.8395061728395061,22.506579223945863,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,141,55,70.0,0.02083333333333326,0.07843137254901955,3.764705882352952,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,146,80,70.0,0.025104602510460206,0.6000000000000001,23.90000000000005,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,149,10,45.99666666666667,0.2837473253325893,1.0,3.524262295081965,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,1034,20,27.975,27974999.000000004,0.33333333333333326,1.1915401081277366e-08,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,3327,119,70.0,0.03521855787716821,0.3222222222222222,9.14921682330199,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND OUTERWEAR,3841,0,24.285714285714285,-0.5142857142857142,-1.0,1.9444444444444446,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND TOPS,80,12,25.076666666666664,4.268207282913165,2.0,0.46858080393765383,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND TOPS,93,39,25.939999999999998,1.8536853685368535,6.8,3.6683679525222557,,,,,
2022-08-22/2022-08-28,MENS OWN BRAND TOPS,177,0,1e-06,-0.9999999554848966,-1.0,1.0000000445151054,,,,,
