department_desc,avg_elasticity,total_orders,avg_discount,elastic_products_count,type,product_number
MENS BRANDED CLOTHING,2.6063661235245084,104,34.11397849462365,,product,237.0
MENS BRANDED CLOTHING,1.0000000250000005,0,1e-06,,product,238.0
MENS BRANDED CLOTHING,3.5215590857023433,669,29.92494623655914,,product,239.0
MENS BRANDED CLOTHING,17.72159573824066,592,32.269892473118276,,product,240.0
MENS BRANDED CLOTHING,4.531872509960162,95,35.5,,product,242.0
MENS BRANDED CLOTHING,10.047570454368604,144,35.69596774193548,,product,243.0
MENS BRANDED CLOTHING,1301.9841329487747,85,22.138126984126984,,product,244.0
MENS BRANDED CLOTHING,40.112291414644545,203,31.25,,product,245.0
MENS BRANDED CLOTHING,2.1426678946770794,136,12.833333333333334,,product,246.0
MENS BRANDED CLOTHING,24.172295434614004,277,17.559139784946236,,product,247.0
MENS BRANDED CLOTHING,20.520925664327915,977,24.637096774193548,,product,248.0
MENS BRANDED CLOTHING,1.6451754385964916,16,9.03225806451613,,product,249.0
MENS BRANDED CLOTHING,112.19434907635882,65,26.431397849462368,,product,251.0
MENS BRANDED CLOTHING,2.042449986553329,170,11.08294930875576,,product,252.0
MENS OWN BRAND TOPS,2.101286549233883,112,10.467666666666666,,product,255.0
MENS OWN BRAND TOPS,23.785130400934214,451,28.392857142857142,,product,256.0
MENS OWN BRAND TOPS,3.1289194168391323,2290,15.838709677419356,,product,257.0
MENS OWN BRAND TOPS,1.2507140140880169,688,27.062611367127495,,product,258.0
MENS OWN BRAND TOPS,1.1354781093940884,192,17.125523809523813,,product,259.0
MENS OWN BRAND TOPS,1027.6853981063944,373,13.853571428571428,,product,260.0
MENS OWN BRAND TOPS,2.589056562963253,345,26.844600000000003,,product,262.0
MENS BRANDED CLOTHING,10.865892531876137,0,18.183,,product,263.0
MENS BRANDED CLOTHING,1.826502018936229,75,22.693870967741937,,product,264.0
MENS OWN BRAND TOPS,11.13886438265628,51,19.812817204301073,,product,266.0
MENS OWN BRAND TOPS,2.413903295278189,56,37.75088709677419,,product,267.0
